time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,8,13,1.3,0,0,0
0.1,8,13.005,1.3,0,0.15,0
0.2,8,13.04,1.3,0,0.6,0
0.3,7.995,13.125,1.3,-0.15,1.05,0
0.4,7.96,13.24,1.3,-0.6,1.2,0
0.5,7.875,13.365,1.3,-1.05,1.35,0
0.6,7.76,13.52,1.3,-1.2,1.8,0
0.7,7.645,13.725,1.3,-1.05,2.25,0
0.8,7.56,13.96,1.3,-0.6,2.4,0
0.9,7.53,14.2,1.3,-8.88178e-16,2.4,0
1,7.56,14.44,1.3,0.6,2.4,0
1.1,7.65,14.675,1.3,1.2,2.25,0
1.2,7.8,14.88,1.3,1.8,1.8,0
1.3,8.005,15.03,1.3,2.25,1.2,0
1.4,8.24,15.12,1.3,2.4,0.6,0
1.5,8.48,15.15,1.3,2.4,-1.77636e-15,0
1.6,8.72,15.12,1.3,2.4,-0.6,0
1.7,8.955,15.03,1.3,2.25,-1.2,0
1.8,9.16,14.88,1.3,1.8,-1.8,0
1.9,9.315,14.67,1.3,1.35,-2.4,0
2,9.44,14.4,1.3,1.2,-3,0
2.1,9.565,14.08,1.3,1.35,-3.3,0
2.2,9.72,13.76,1.3,1.8,-3,0
2.3,9.93,13.49,1.3,2.4,-2.4,0
2.4,10.2,13.28,1.3,3,-1.8,0
2.5,10.53,13.13,1.3,3.6,-1.2,0
2.6,10.92,13.04,1.3,4.2,-0.6,0
2.7,11.365,13.01,1.3,4.65,5.77316e-15,0
2.8,11.84,13.04,1.3,4.8,0.6,0
2.9,12.315,13.13,1.3,4.65,1.2,0
3,12.76,13.28,1.3,4.2,1.8,0
3.1,13.16,13.485,1.3,3.9,2.25,0
3.2,13.56,13.72,1.3,4.2,2.4,0
3.3,14.01,13.96,1.3,4.8,2.4,0
3.4,14.52,14.2,1.3,5.4,2.4,0
3.5,15.09,14.435,1.3,6,2.25,0
3.6,15.72,14.64,1.3,6.6,1.8,0
3.7,16.405,14.79,1.3,7.05,1.2,0
3.8,17.12,14.88,1.3,7.2,0.6,0
3.9,17.84,14.91,1.3,7.2,-5.77316e-15,0
4,18.56,14.88,1.3,7.2,-0.6,0
4.1,19.275,14.79,1.3,7.05,-1.2,0
4.2,19.96,14.64,1.3,6.6,-1.8,0
4.3,20.595,14.43,1.3,6.15,-2.4,0
4.4,21.2,14.16,1.3,6,-3,0
4.5,21.8,13.84,1.3,6,-3.3,0
4.6,22.4,13.52,1.3,6,-3,0
4.7,23.005,13.25,1.3,6.15,-2.4,0
4.8,23.64,13.04,1.3,6.6,-1.8,0
4.9,24.32,12.89,1.3,6.9,-1.2,0
5,25,12.8,1.3,6.6,-0.6,0
5.1,25.63,12.77,1.3,6,-2.35367e-14,0
5.2,26.2,12.8,1.3,5.4,0.6,0
5.3,26.71,12.89,1.3,4.8,1.2,0
5.4,27.16,13.04,1.3,4.2,1.8,0
5.5,27.55,13.245,1.3,3.6,2.25,0
5.6,27.88,13.48,1.3,3,2.4,0
5.7,28.15,13.715,1.3,2.4,2.25,0
5.8,28.36,13.92,1.3,1.8,1.8,0
